Round Robin

ZAMAN TABLOSU
[432,117] CS [432,118]
[432,118] P032 [436,118]
[436,118] CS [436,119]
[436,119] P085 [440,119]
[440,119] CS [440,120]
[440,120] P086 [444,120]
[444,120] CS [444,121]
[444,121] P033 [448,121]
[448,121] CS [448,122]
[448,122] P087 [450,122]
[450,122] CS [450,123]
[450,123] P088 [454,123]
[454,123] CS [454,124]
[454,124] P013 [458,124]
[458,124] CS [458,125]
[458,125] P089 [462,125]
[462,125] CS [462,126]
[462,126] P090 [466,126]
[466,126] CS [466,127]
[466,127] P091 [470,127]
[470,127] CS [470,128]
[470,128] P035 [472,128]
[472,128] CS [472,129]
[472,129] P092 [476,129]
[476,129] CS [476,130]
[476,130] P093 [480,130]
[480,130] CS [480,131]
[480,131] P036 [484,131]
[484,131] CS [484,132]
[484,132] P094 [487,132]
[487,132] CS [487,133]
[487,133] P095 [491,133]
[491,133] CS [491,134]
[491,134] P037 [495,134]
[495,134] CS [495,135]
[495,135] P096 [499,135]
[499,135] CS [499,136]
[499,136] P097 [503,136]
[503,136] CS [503,137]
[503,137] P006 [507,137]
[507,137] CS [507,138]
[507,138] P098 [511,138]
[511,138] CS [511,139]
[511,139] P099 [515,139]
[515,139] CS [515,140]
[515,140] P038 [519,140]
[519,140] CS [519,141]
[519,141] P100 [520,141]
[520,141] CS [520,142]
[520,142] P039 [524,142]
[524,142] CS [524,143]
[524,143] P016 [525,143]
[525,143] CS [525,144]
[525,144] P042 [528,144]
[528,144] CS [528,145]
[528,145] P043 [532,145]
[532,145] CS [532,146]
[532,146] P017 [536,146]
[536,146] CS [536,147]
[536,147] P044 [540,147]
[540,147] CS [540,148]
[540,148] P045 [544,148]
[544,148] CS [544,149]
[544,149] P046 [548,149]
[548,149] CS [548,150]
[548,150] P018 [552,150]
[552,150] CS [552,151]
[552,151] P048 [553,151]
[553,151] CS [553,152]
[553,152] P019 [557,152]
[557,152] CS [557,153]
[557,153] P049 [561,153]
[561,153] CS [561,154]
[561,154] P050 [565,154]
[565,154] CS [565,155]
[565,155] P051 [569,155]
[569,155] CS [569,156]
[569,156] P052 [573,156]
[573,156] CS [573,157]
[573,157] P053 [577,157]
[577,157] CS [577,158]
[577,158] P055 [579,158]
[579,158] CS [579,159]
[579,159] P056 [583,159]
[583,159] CS [583,160]
[583,160] P057 [587,160]
[587,160] CS [587,161]
[587,161] P023 [589,161]
[589,161] CS [589,162]
[589,162] P058 [593,162]
[593,162] CS [593,163]
[593,163] P059 [597,163]
[597,163] CS [597,164]
[597,164] P024 [601,164]
[601,164] CS [601,165]
[601,165] P062 [604,165]
[604,165] CS [604,166]
[604,166] P063 [608,166]
[608,166] CS [608,167]
[608,167] P025 [612,167]
[612,167] CS [612,168]
[612,168] P064 [616,168]
[616,168] CS [616,169]
[616,169] P065 [620,169]
[620,169] CS [620,170]
[620,170] P066 [624,170]
[624,170] CS [624,171]
[624,171] P026 [628,171]
[628,171] CS [628,172]
[628,172] P068 [629,172]
[629,172] CS [629,173]
[629,173] P069 [633,173]
[633,173] CS [633,174]
[633,174] P070 [637,174]
[637,174] CS [637,175]
[637,175] P011 [639,175]
[639,175] CS [639,176]
[639,176] P071 [643,176]
[643,176] CS [643,177]
[643,177] P072 [647,177]
[647,177] CS [647,178]
[647,178] P073 [651,178]
[651,178] CS [651,179]
[651,179] P075 [653,179]
[653,179] CS [653,180]
[653,180] P076 [657,180]
[657,180] CS [657,181]
[657,181] P077 [661,181]
[661,181] CS [661,182]
[661,182] P078 [665,182]
[665,182] CS [665,183]
[665,183] P030 [668,183]
[668,183] CS [668,184]
[668,184] P079 [672,184]
[672,184] CS [672,185]
[672,185] P031 [676,185]
[676,185] CS [676,186]
[676,186] P082 [679,186]
[679,186] CS [679,187]
[679,187] P012 [683,187]
[683,187] CS [683,188]
[683,188] P083 [687,188]
[687,188] CS [687,189]
[687,189] P084 [691,189]
[691,189] CS [691,190]
[691,190] P032 [695,190]
[695,190] CS [695,191]
[695,191] P085 [699,191]
[699,191] CS [699,192]
[699,192] P086 [703,192]
[703,192] CS [703,193]
[703,193] P033 [707,193]
[707,193] CS [707,194]
[707,194] P088 [708,194]
[708,194] CS [708,195]
[708,195] P013 [712,195]
[712,195] CS [712,196]
[712,196] P089 [716,196]
[716,196] CS [716,197]
[716,197] P090 [720,197]
[720,197] CS [720,198]
[720,198] P091 [724,198]
[724,198] CS [724,199]
[724,199] P092 [728,199]
[728,199] CS [728,200]
[728,200] P093 [732,200]
[732,200] CS [732,201]
[732,201] P036 [733,201]
[733,201] CS [733,202]
[733,202] P095 [735,202]
[735,202] CS [735,203]
[735,203] P037 [739,203]
[739,203] CS [739,204]
[739,204] P096 [743,204]
[743,204] CS [743,205]
[743,205] P097 [747,205]
[747,205] CS [747,206]
[747,206] P006 [750,206]
[750,206] CS [750,207]
[750,207] P098 [754,207]
[754,207] CS [754,208]
[754,208] P099 [758,208]
[758,208] CS [758,209]
[758,209] P038 [762,209]
[762,209] CS [762,210]
[762,210] P039 [766,210]
[766,210] CS [766,211]
[766,211] P043 [768,211]
[768,211] CS [768,212]
[768,212] P044 [772,212]
[772,212] CS [772,213]
[772,213] P045 [776,213]
[776,213] CS [776,214]
[776,214] P046 [780,214]
[780,214] CS [780,215]
[780,215] P018 [783,215]
[783,215] CS [783,216]
[783,216] P019 [787,216]
[787,216] CS [787,217]
[787,217] P050 [790,217]
[790,217] CS [790,218]
[790,218] P051 [794,218]
[794,218] CS [794,219]
[794,219] P052 [798,219]
[798,219] CS [798,220]
[798,220] P053 [802,220]
[802,220] CS [802,221]
[802,221] P056 [803,221]
[803,221] CS [803,222]
[803,222] P057 [807,222]
[807,222] CS [807,223]
[807,223] P058 [811,223]
[811,223] CS [811,224]
[811,224] P059 [815,224]
[815,224] CS [815,225]
[815,225] P024 [816,225]
[816,225] CS [816,226]
[816,226] P063 [818,226]
[818,226] CS [818,227]
[818,227] P025 [822,227]
[822,227] CS [822,228]
[822,228] P064 [826,228]
[826,228] CS [826,229]
[826,229] P065 [830,229]
[830,229] CS [830,230]
[830,230] P066 [834,230]
[834,230] CS [834,231]
[834,231] P026 [838,231]
[838,231] CS [838,232]
[838,232] P070 [841,232]
[841,232] CS [841,233]
[841,233] P071 [845,233]
[845,233] CS [845,234]
[845,234] P072 [849,234]
[849,234] CS [849,235]
[849,235] P073 [853,235]
[853,235] CS [853,236]
[853,236] P076 [854,236]
[854,236] CS [854,237]
[854,237] P077 [858,237]
[858,237] CS [858,238]
[858,238] P078 [862,238]
[862,238] CS [862,239]
[862,239] P079 [866,239]
[866,239] CS [866,240]
[866,240] P031 [868,240]
[868,240] CS [868,241]
[868,241] P012 [869,241]
[869,241] CS [869,242]
[869,242] P083 [871,242]
[871,242] CS [871,243]
[871,243] P084 [875,243]
[875,243] CS [875,244]
[875,244] P032 [879,244]
[879,244] CS [879,245]
[879,245] P085 [883,245]
[883,245] CS [883,246]
[883,246] P086 [887,246]
[887,246] CS [887,247]
[887,247] P033 [891,247]
[891,247] CS [891,248]
[891,248] P013 [895,248]
[895,248] CS [895,249]
[895,249] P090 [898,249]
[898,249] CS [898,250]
[898,250] P091 [902,250]
[902,250] CS [902,251]
[902,251] P092 [906,251]
[906,251] CS [906,252]
[906,252] P093 [910,252]
[910,252] CS [910,253]
[910,253] P096 [911,253]
[911,253] CS [911,254]
[911,254] P097 [915,254]
[915,254] CS [915,255]
[915,255] P098 [919,255]
[919,255] CS [919,256]
[919,256] P099 [923,256]
[923,256] CS [923,257]
[923,257] P038 [926,257]
[926,257] CS [926,258]
[926,258] P039 [930,258]
[930,258] CS [930,259]
[930,259] P044 [931,259]
[931,259] CS [931,260]
[931,260] P045 [935,260]
[935,260] CS [935,261]
[935,261] P046 [939,261]
[939,261] CS [939,262]
[939,262] P019 [941,262]
[941,262] CS [941,263]
[941,263] P051 [943,263]
[943,263] CS [943,264]
[943,264] P052 [947,264]
[947,264] CS [947,265]
[947,265] P053 [951,265]
[951,265] CS [951,266]
[951,266] P058 [954,266]
[954,266] CS [954,267]
[954,267] P059 [958,267]
[958,267] CS [958,268]
[958,268] P064 [959,268]
[959,268] CS [959,269]
[959,269] P065 [963,269]
[963,269] CS [963,270]
[963,270] P066 [967,270]
[967,270] CS [967,271]
[967,271] P026 [970,271]
[970,271] CS [970,272]
[970,272] P071 [972,272]
[972,272] CS [972,273]
[972,273] P072 [976,273]
[976,273] CS [976,274]
[976,274] P073 [980,274]
[980,274] CS [980,275]
[980,275] P078 [983,275]
[983,275] CS [983,276]
[983,276] P079 [987,276]
[987,276] CS [987,277]
[987,277] P084 [988,277]
[988,277] CS [988,278]
[988,278] P032 [989,278]
[989,278] CS [989,279]
[989,279] P085 [993,279]
[993,279] CS [993,280]
[993,280] P086 [997,280]
[997,280] CS [997,281]
[997,281] P033 [1001,281]
[1001,281] CS [1001,282]
[1001,282] P091 [1003,282]
[1003,282] CS [1003,283]
[1003,283] P092 [1007,283]
[1007,283] CS [1007,284]
[1007,284] P093 [1011,284]
[1011,284] CS [1011,285]
[1011,285] P098 [1014,285]
[1014,285] CS [1014,286]
[1014,286] P099 [1018,286]
[1018,286] CS [1018,287]
[1018,287] P039 [1020,287]
[1020,287] CS [1020,288]
[1020,288] P046 [1023,288]
[1023,288] CS [1023,289]
[1023,289] P052 [1024,289]
[1024,289] CS [1024,290]
[1024,290] P053 [1028,290]
[1028,290] CS [1028,291]
[1028,291] P059 [1030,291]
[1030,291] CS [1030,292]
[1030,292] P066 [1033,292]
[1033,292] CS [1033,293]
[1033,293] P072 [1034,293]
[1034,293] CS [1034,294]
[1034,294] P073 [1038,294]
[1038,294] CS [1038,295]
[1038,295] P079 [1040,295]
[1040,295] CS [1040,296]
[1040,296] P086 [1043,296]
[1043,296] CS [1043,297]
[1043,297] P092 [1044,297]
[1044,297] CS [1044,298]
[1044,298] P093 [1048,298]
[1048,298] CS [1048,299]
[1048,299] P099 [1050,299]

BEKLEME SURESI
Ortalama: 551,053
Maksimum: 926,287

TAMAMLANMA SURESI
Ortalama: 561,553
Maksimum: 944,287

IS TAMAMLAMA SAYISI
T=50 -> 3
T=100 -> 7
T=150 -> 10
T=200 -> 11

CPU VERIMLILIGI
99,97%

BAGLAM DEGISTIRME
Toplam: 299
